space,location,front,streetWidth,propertyAge,driverRoom,tent,patio,maidRoom,elevator,furnihsed,pool,basement,price
300,جنوب الرياض,شرقية,20.0,0,1,1,1,0,0,0,0,0,1050000.0
540,غرب الرياض,غربية,20.0,0,1,1,1,1,1,0,0,0,3000000.0
875,جنوب الرياض,جنوبية شرقية,15.0,31,1,0,1,1,0,0,0,0,2000000.0
200,غرب الرياض,غربية,15.0,3,0,1,1,1,0,1,0,0,894000.0
400,شرق الرياض,شمالية,25.0,0,1,1,1,1,1,1,0,0,3500000.0
500,غرب الرياض,شمالية شرقية,10.0,0,0,1,1,0,0,0,0,0,800000.0
275,غرب الرياض,شمالية,20.0,0,0,1,1,0,1,0,0,0,2100000.0
300,جنوب الرياض,شمالية,25.0,6,0,1,1,1,0,0,0,0,1100000.0
585,شرق الرياض,جنوبية,14.0,35,0,0,1,0,0,0,0,0,1900000.0
360,جنوب الرياض,شمالية شرقية,22.0,0,0,0,1,1,0,0,0,0,1200000.0
780,شرق الرياض,جنوبية غربية,15.0,6,1,1,1,1,0,0,0,0,3900000.0
300,جنوب الرياض,جنوبية,21.0,0,0,1,1,0,0,0,0,0,1050000.0
540,شرق الرياض,شمالية,15.0,10,1,1,1,1,0,0,0,0,3100000.0
600,جنوب الرياض,شمالية شرقية,30.0,0,0,0,0,0,0,0,0,0,900000.0
260,جنوب الرياض,شمالية غربية,21.0,0,0,0,1,0,0,0,0,0,1030000.0
300,جنوب الرياض,شمالية,15.0,0,0,0,1,1,0,0,0,0,1050000.0
300,جنوب الرياض,شرقية,20.0,0,0,0,1,1,0,0,0,0,1100000.0
270,شرق الرياض,شمالية,15.0,0,0,1,0,1,0,0,0,0,1400000.0
552,غرب الرياض,شمالية,15.0,23,1,0,0,1,0,0,0,0,1200000.0
375,شرق الرياض,شرقية,20.0,0,1,1,1,1,1,0,1,0,2000000.0
500,غرب الرياض,شمالية شرقية,10.0,0,0,1,1,0,0,0,0,0,800000.0
220,شمال الرياض,غربية,20.0,0,0,0,1,1,0,0,0,0,2000000.0
300,جنوب الرياض,جنوبية,21.0,0,0,1,1,0,0,0,0,0,1050000.0
275,جنوب الرياض,جنوبية,15.0,3,0,1,1,0,0,0,0,0,900000.0
300,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1150000.0
300,جنوب الرياض,شرقية,20.0,0,0,1,1,1,0,0,1,0,990000.0
375,جنوب الرياض,شمالية,22.0,8,0,0,1,0,0,0,0,0,950000.0
400,شرق الرياض,شمالية,25.0,0,1,1,1,1,1,1,0,0,3500000.0
350,جنوب الرياض,شرقية,30.0,0,0,0,1,0,0,0,0,0,1130000.0
300,جنوب الرياض,شمالية,15.0,0,0,1,1,1,1,0,0,0,980000.0
562,شرق الرياض,جنوبية,25.0,0,1,1,1,1,1,1,0,0,6300000.0
377,جنوب الرياض,جنوبية غربية,29.0,0,0,0,1,0,0,0,0,0,1600000.0
600,غرب الرياض,شمالية,15.0,5,0,0,1,1,0,0,1,0,1700000.0
350,جنوب الرياض,شرقية,25.0,0,0,1,1,0,0,0,0,0,1150000.0
300,جنوب الرياض,شمالية غربية,15.0,0,0,0,1,0,0,0,0,0,1150000.0
600,جنوب الرياض,شمالية شرقية,30.0,0,0,0,0,0,0,0,0,0,900000.0
350,جنوب الرياض,شرقية,30.0,0,0,0,1,1,0,0,0,0,1130000.0
270,جنوب الرياض,جنوبية,28.0,0,0,1,1,1,0,0,0,0,1150000.0
300,جنوب الرياض,شرقية,17.0,0,0,1,1,1,0,0,0,0,1175000.0
350,جنوب الرياض,شرقية,25.0,0,0,0,1,0,0,0,0,0,1150000.0
375,غرب الرياض,جنوبية,20.0,0,0,0,0,1,0,0,0,0,1500000.0
250,جنوب الرياض,جنوبية,20.0,5,0,1,1,0,0,0,0,0,800000.0
380,شرق الرياض,شرقية,15.0,15,1,1,1,1,0,0,0,0,1700000.0
350,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,0,0,2800000.0
420,جنوب الرياض,شرقية,5.0,0,0,0,0,1,1,0,0,0,1500000.0
360,شرق الرياض,شرقية,15.0,0,1,1,1,1,0,0,0,0,1950000.0
500,شرق الرياض,جنوبية,15.0,10,1,1,1,1,0,0,0,0,2200000.0
400,غرب الرياض,شمالية,20.0,35,1,1,1,1,0,0,0,0,900000.0
500,شرق الرياض,شرقية,15.0,22,1,1,1,1,0,0,0,0,2100000.0
500,شرق الرياض,جنوبية,15.0,23,1,1,1,1,0,0,0,0,2200000.0
975,شرق الرياض,جنوبية شرقية,20.0,20,1,1,1,1,0,0,0,0,3500000.0
445,شرق الرياض,شمالية شرقية,14.0,11,1,1,1,1,0,0,0,0,2200000.0
750,شرق الرياض,شمالية,20.0,20,1,1,1,1,0,0,0,0,3000000.0
440,شرق الرياض,شمالية,20.0,15,1,1,1,1,0,0,0,0,2200000.0
250,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1150000.0
2100,شرق الرياض,ثلاث شوارع,30.0,25,1,1,1,1,1,0,1,1,4200000.0
312,جنوب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1050000.0
312,شرق الرياض,جنوبية,16.0,0,0,0,1,1,0,0,0,1,1850000.0
300,جنوب الرياض,شرقية,20.0,0,0,1,1,0,0,0,0,0,1050000.0
170,غرب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,720000.0
1050,شمال الرياض,شمالية شرقية,20.0,11,1,0,1,1,0,0,0,1,8000000.0
391,شرق الرياض,جنوبية,13.0,22,1,1,1,1,0,0,0,0,1700000.0
1200,شرق الرياض,شرقية,15.0,25,1,0,1,1,0,0,0,0,5040000.0
200,شمال الرياض,شرقية,20.0,0,0,0,0,1,1,0,0,0,2650000.0
250,غرب الرياض,شرقية,30.0,0,0,1,1,1,0,0,0,0,1000000.0
823,شرق الرياض,غربية,15.0,21,1,1,1,1,0,0,0,0,2200000.0
292,شرق الرياض,شرقية,15.0,13,1,1,1,1,0,0,0,0,1300000.0
324,جنوب الرياض,جنوبية,21.0,0,0,0,0,0,0,0,0,0,1100000.0
270,غرب الرياض,شرقية,20.0,0,0,1,0,1,1,0,0,0,750000.0
270,جنوب الرياض,شرقية,20.0,0,0,1,1,1,0,0,0,0,850000.0
350,شمال الرياض,جنوبية,15.0,0,1,0,1,1,1,0,0,0,2800000.0
500,شرق الرياض,جنوبية,15.0,10,1,1,1,1,0,0,0,0,2200000.0
360,شرق الرياض,شرقية,15.0,0,1,1,1,1,0,0,0,0,1950000.0
312,شرق الرياض,جنوبية,16.0,0,0,0,1,1,0,0,0,1,1850000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,1,0,0,0,0,1200000.0
450,شمال الرياض,جنوبية شرقية,15.0,1,1,0,1,1,1,0,1,1,4500000.0
375,شرق الرياض,غربية,24.0,0,1,0,1,1,1,0,0,0,2050000.0
300,جنوب الرياض,شمالية,19.0,0,0,1,1,1,0,0,1,0,1070000.0
160,غرب الرياض,شمالية,35.0,0,0,0,0,0,0,0,0,0,560000.0
252,غرب الرياض,غربية,20.0,2,0,0,0,0,0,0,0,0,1000000.0
1200,غرب الرياض,شمالية غربية,30.0,0,0,1,1,1,0,0,0,0,6500000.0
300,جنوب الرياض,شرقية,22.0,0,0,0,1,1,0,0,0,0,1180000.0
600,شمال الرياض,شمالية غربية,15.0,0,1,0,1,1,0,0,0,0,3600000.0
200,غرب الرياض,شمالية,15.0,0,0,1,1,1,0,0,0,0,1100000.0
480,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1350000.0
312,شمال الرياض,شمالية,15.0,0,1,0,0,0,1,0,0,0,2850000.0
250,شمال الرياض,شمالية,20.0,0,0,0,1,1,0,0,0,0,2250000.0
