,نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
0,أرض,مجهول,الرياض, الرياض ,غربية,375,2900.0,1087500
1,أرض,مجهول,الرياض, حي غرناطة ,شمالية,800,4800.0,3840000
2,أرض,سكني,الرياض, حي غرناطة ,ثلاث شوارع,1650,4800.0,7920000
3,أرض,سكني,الرياض, حي اليرموك ,ثلاث شوارع,1650,4800.0,7920000
4,أرض,سكني,الرياض, حي النسيم الغربي ,غربية,750,3200.0,2400000
5,أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية,2400,3300.0,7920000
6,أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية,900,3300.0,2970000
7,أرض,تجاري وسكني,الرياض, حي الملك فيصل ,شرقية,750,3350.0,2512500
8,أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089,3300.0,3593700
9,أرض,تجاري وسكني,الرياض, الرياض ,غربية,750,2600.0,1950000
10,أرض,تجاري وسكني,الرياض, الرياض ,شمالية شرقية,900,580.0,522000
11,أرض,تجاري وسكني,الرياض, حي اليرموك ,شرقية,450,3500.0,1575000
12,أرض,تجاري وسكني,الرياض, حي الرمال ,شرقية,450,3500.0,1575000
14,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية,1089,3300.0,3593700
15,أرض,تجاري وسكني,الرياض, حي المعيزلة ,جنوبية,550,2500.0,1375000
16,أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089,3200.0,3484800
17,أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089,3250.0,3539250
18,أرض,تجاري وسكني,الرياض, حي المعيزلة ,جنوبية,550,3000.0,1650000
20,أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية شرقية,3092,3200.0,9894400
21,أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية,381,2500.0,952500
22,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,361,2500.0,902500
23,أرض,تجاري وسكني,الرياض, حي الشرق ,شمالية,361,2500.0,902500
24,أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية,412,3100.0,1277200
25,أرض,تجاري,الرياض, حي المونسية ,شرقية,750,4200.0,3150000
26,أرض,تجاري,الرياض, حي المونسية ,شرقية,2115,4200.0,8883000
27,أرض,تجاري,الرياض, حي الرمال ,شرقية,1560,6410.0,9999600
28,أرض,تجاري,الرياض, حي الروضة ,شمالية,1798,1500.0,2697000
29,أرض,تجاري,الرياض, حي الرمال ,ثلاث شوارع,3000,1500.0,4500000
