,نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
0,فيلا,الرياض,حي العارض,جنوبية,6,3,5+,-1.0,244.0,True,True,True,True,False,True,False,False,True,True,2300000
1,فيلا,الرياض,حي العارض,جنوبية,6,4,5+,-1.0,322.0,True,True,True,True,True,True,False,False,True,True,3000000
2,فيلا,الرياض,حي العارض,جنوبية,3,2,5+,-1.0,350.0,True,False,True,False,True,False,False,True,True,True,2600000
3,فيلا,الرياض,حي النرجس,جنوبية,4,4,4,-1.0,350.0,True,True,True,False,False,True,False,True,True,True,2600000
4,فيلا,الرياض,حي العارض,غربية,4,1,5+,-1.0,270.0,True,True,True,True,False,False,False,False,True,False,2800000
5,فيلا,الرياض,حي النرجس,شمالية,7+,4,5+,-1.0,360.0,True,True,True,True,True,True,False,False,True,False,3500000
6,فيلا,الرياض,حي الملقا,شرقية,3,3,3,-1.0,437.0,False,True,True,True,False,False,False,False,True,False,4500000
7,فيلا,الرياض,حي الملقا,شمالية,5,1,5+,-1.0,252.0,True,True,True,True,False,False,False,False,True,True,2800000
8,فيلا,الرياض,حي النخيل,شمالية غربية,6,3,5+,-1.0,1200.0,True,True,True,True,True,True,True,True,True,True,17000000
9,فيلا,الرياض,حي الملقا,شرقية,4,3,5+,-1.0,270.0,True,True,True,True,False,True,False,False,True,True,3600000
10,فيلا,الرياض,حي الملقا,شرقية,6,1,5+,-1.0,250.0,True,True,True,False,True,True,True,True,True,True,2500000
11,فيلا,الرياض,حي الملقا,جنوبية,6,3,5+,-1.0,600.0,True,True,True,True,True,True,True,False,True,True,8500000
12,فيلا,الرياض,حي النرجس,شمالية,7+,3,5+,-1.0,225.0,True,False,True,False,False,True,False,False,True,True,3000000
13,فيلا,الرياض,حي النرجس,شمالية,7+,3,5+,-1.0,225.0,True,False,False,False,False,False,False,False,True,True,3000000
14,فيلا,الرياض,حي الملقا,شرقية,5,3,5+,-1.0,437.0,True,True,True,True,True,True,False,False,True,True,8500000
15,فيلا,الرياض,حي النرجس,جنوبية,5,1,4,-1.0,276.0,True,True,True,True,True,True,False,False,True,False,2450000
16,فيلا,الرياض,حي التعاون,غربية,7+,3,5+,-1.0,359.0,True,True,True,True,True,True,False,False,True,True,3600000
17,فيلا,الرياض,حي الوادي,غربية,5,3,4,-1.0,375.0,True,True,True,True,False,True,False,False,True,False,2200000
18,فيلا,الرياض,حي الملقا,شرقية,5,2,5+,-1.0,430.0,True,True,True,True,False,True,False,False,True,True,6000000
19,فيلا,الرياض,الرياض,شمالية,5,3,5+,-1.0,280.0,True,True,True,True,False,True,False,False,True,True,2650000
20,فيلا,الرياض,الرياض,جنوبية,4,3,5+,15.0,274.0,True,True,True,True,False,True,True,False,True,True,2600000
21,فيلا,الرياض,حي النخيل,جنوبية,6,2,5+,-1.0,750.0,True,True,True,True,True,True,True,False,True,False,8000000
22,فيلا,الرياض,حي العارض,شمالية,6,3,5+,-1.0,500.0,True,True,True,True,True,True,True,False,True,True,5550000
23,فيلا,الرياض,حي النرجس,شمالية,5,1,5+,-1.0,228.0,True,True,True,False,False,True,False,False,True,False,2550000
24,فيلا,الرياض,حي الملقا,شمالية غربية,7+,3,5+,-1.0,1200.0,True,True,True,True,True,True,True,False,True,True,18000000
25,فيلا,الرياض,حي الملقا,شمالية غربية,5,3,5+,-1.0,400.0,True,True,True,True,True,True,True,False,True,True,4900000
26,فيلا,الرياض,حي جامعة الملك سعود,شمالية غربية,4,3,5+,-1.0,400.0,True,True,True,True,False,True,True,False,True,True,5500000
27,فيلا,الرياض,حي الملقا,شرقية,5,4,5+,-1.0,500.0,True,True,True,True,True,True,True,False,True,True,7500000
28,فيلا,الرياض,حي العارض,شمالية,4,3,5+,-1.0,300.0,True,True,True,True,False,False,False,False,True,True,2300000
29,فيلا,الرياض,حي الربيع,شرقية,7+,4,5+,-1.0,625.0,False,False,False,False,False,False,False,False,False,False,4375000
30,فيلا,الرياض,حي الملقا,شمالية غربية,5,4,5+,-1.0,620.0,True,True,True,True,True,True,True,False,True,True,10000000
31,فيلا,الرياض,حي الملقا,غربية,7+,3,5+,-1.0,800.0,True,True,True,True,True,True,True,False,True,False,10000000
32,فيلا,الرياض,حي الملقا,شرقية,4,3,5+,-1.0,500.0,True,True,True,True,True,True,False,False,True,True,6800000
33,فيلا,الرياض,حي العارض,غربية,6,2,5+,-1.0,900.0,True,False,True,True,False,True,False,False,True,False,8000000
34,فيلا,الرياض,حي النرجس,شمالية,5,2,5+,-1.0,312.0,True,False,True,True,False,True,False,False,True,True,2750000
35,فيلا,الرياض,العيينة,غربية,5,1,4,-1.0,250.0,True,True,True,False,False,True,False,False,True,False,1280000
36,فيلا,الرياض,حي العقيق,شمالية,5,2,5+,-1.0,375.0,True,True,True,True,True,True,True,False,True,True,4500000
37,فيلا,الرياض,العيينة,جنوبية,4,1,5+,-1.0,280.0,False,True,False,False,True,False,False,False,False,False,1270000
38,فيلا,الرياض,حي الملقا,شرقية,5,5,5+,-1.0,430.0,True,True,True,True,False,True,False,False,False,True,6000000
39,فيلا,الرياض,حي الملقا,شمالية,5,2,5+,-1.0,287.0,True,True,True,True,False,True,False,False,True,True,3600000
40,فيلا,الرياض,حي الملقا,جنوبية,5,2,5+,-1.0,253.0,True,True,True,True,False,True,False,False,True,True,3400000
41,فيلا,الرياض,حي الملقا,شرقية,7+,4,5+,-1.0,1750.0,True,False,True,True,True,True,False,False,True,True,22500000
42,فيلا,الرياض,حي الياسمين,شمالية,4,2,5+,-1.0,420.0,True,False,True,True,False,True,False,False,True,False,3100000
43,فيلا,الرياض,حي النرجس,شمالية,4,2,5+,-1.0,240.0,True,True,True,True,False,False,False,False,True,True,2750000
44,فيلا,الرياض,حي النخيل,شرقية,4,3,5+,-1.0,260.0,True,False,True,True,True,True,True,False,True,True,3500000
45,فيلا,الرياض,حي العارض,شمالية شرقية,4,3,5+,-1.0,221.0,True,True,True,False,True,False,False,False,True,True,2200000
46,فيلا,الرياض,حي العارض,شمالية,4,3,5+,-1.0,204.0,True,True,True,False,True,False,False,False,True,True,2000000
47,فيلا,الرياض,حي الوادي,غربية,5,4,5+,-1.0,375.0,True,True,True,True,True,True,False,False,True,False,2200000
48,فيلا,الرياض,حي العارض,شمالية,6,2,4,-1.0,400.0,True,True,True,False,False,True,False,False,True,False,3800000
49,فيلا,الرياض,حي النرجس,جنوبية شرقية,4,2,5+,-1.0,315.0,True,True,False,False,False,False,False,False,False,False,2900000
50,فيلا,الرياض,حي الياسمين,شمالية,5,4,5+,-1.0,660.0,True,True,True,True,True,True,False,False,True,False,8000000
51,فيلا,الرياض,حي الملقا,شرقية,5,3,5+,-1.0,525.0,True,True,True,True,False,True,True,True,True,True,9000000
52,فيلا,الرياض,حي النرجس,جنوبية,5,3,5+,-1.0,300.0,True,True,True,True,False,False,True,False,False,True,2950000
53,فيلا,الرياض,حي العليا,شرقية,5,3,5+,-1.0,260.0,True,False,True,False,True,True,False,False,True,True,2800000
54,فيلا,الرياض,حي النزهة,شمالية شرقية,7+,2,5+,-1.0,1050.0,True,True,True,True,True,True,False,True,True,True,7800000
55,فيلا,الرياض,حي الملقا,شرقية,6,2,5+,-1.0,480.0,True,True,True,True,True,True,False,False,True,True,5500000
56,فيلا,الرياض,حي العارض,جنوبية,5,2,5+,-1.0,360.0,True,True,True,True,True,True,False,False,True,True,2850000
57,فيلا,الرياض,حي العارض,شمالية,7+,5,5+,-1.0,630.0,False,True,True,False,True,True,False,False,True,False,6050000
