الحي,سعر المتر
 ,4121.5
 العيينة ,2761.12
 القرينة ,920.0
 القرينه ,1012.5
 المغرفية ,2880.0
 امارة منطقة الرياض ,1486.2222222222222
 حي أم الحمام الغربي ,2667.0
 حي اشبيلية ,4776.363636363636
 حي الازدهار ,4708.75
 حي الاندلس ,3750.0
 حي البديعة ,2330.0
 حي البرية ,2391.8888888888887
 حي البيان ,2367.1176470588234
 حي الجزيرة ,2690.0
 حي الجنادرية ,2252.909090909091
 حي الحائر ,3112.5
 حي الحزم ,1953.6666666666667
 حي الحمراء ,4892.857142857143
 حي الخليج ,2770.285714285714
 حي الخير ,1934.7368421052631
 حي الدار البيضاء ,1478.5555555555557
 حي الدفاع ,1537.0
 حي الربوة ,4275.0
 حي الربيع ,6700.0
 حي الرحمانية ,6350.0
 حي الرفيعة ,5800.0
 حي الرمال ,2995.890625
 حي الروضة ,3747.846153846154
 حي الريان ,6000.0
 حي الزاهر ,910.6666666666666
 حي الزهراء ,7500.0
 حي الزهرة ,2000.0
 حي السعادة ,2567.0
 حي السلام ,3227.8
 حي السلي ,2458.25
 حي السليمانية ,7000.0
 حي السويدي ,3400.0
 حي الشرق ,2043.357142857143
 حي الشعلة ,803.4
 حي الشفا ,1522.5
 حي الشهداء ,3486.0
 حي الصحافة ,6594.2
 حي الصفا ,3250.0
 حي الصناعية القديمة ,1975.0
 حي الضباط ,4475.0
 حي العارض ,3869.0263157894738
 حي العريجاء الغربي ,1847.5
 حي العريجاء الغربية ,1500.0
 حي العريجاء الوسطى ,1750.0
 حي العزيزية ,1867.1666666666667
 حي العقيق ,6769.4
 حي العلا ,2537.3636363636365
 حي العليا ,3597.0
 حي العوالي ,2555.529411764706
 حي العين ,1630.0
 حي الغدير ,6700.0
 حي الغنامية ,1902.875
 حي الفاروق ,3000.0
 حي الفلاح ,6500.0
 حي الفيحاء ,888.5
 حي القادسية ,2841.848484848485
 حي القدس ,4947.166666666667
 حي القيروان ,5082.375
 حي المحمدية ,8350.0
 حي المربع ,2300.0
 حي المرسلات ,3300.0
 حي المروة ,2633.3333333333335
 حي المروج ,5467.25
 حي المشاعل ,3700.0
 حي المشرق ,1114.2941176470588
 حي المصانع ,3600.0
 حي المصفاة ,1688.75
 حي المصيف ,4350.0
 حي المعيزلة ,3114.285714285714
 حي المعيزيلة ,1670.0
 حي المغرزات ,4851.333333333333
 حي الملز ,1310.3333333333333
 حي الملقا ,7367.384615384615
 حي الملك عبدالله ,3000.0
 حي الملك فهد ,4433.0
 حي الملك فيصل ,2861.0
 حي المناخ ,1590.0
 حي المنار ,3150.0
 حي المنصورة ,4975.0
 حي المنصورية ,5150.0
 حي المهدية ,2853.0803571428573
 حي المونسية ,4469.882352941177
 حي الناصرية ,3200.0
 حي النخيل ,10444.333333333334
 حي الندوة ,2029.5
 حي الندى ,5200.0
 حي النرجس ,4460.129310344828
 حي النسيم الشرقي ,2181.25
 حي النسيم الغربي ,2829.6315789473683
 حي النظيم ,1833.142857142857
 حي النفل ,5600.0
 حي النهضة ,3072.5
 حي الهدا ,5120.0
 حي الوادي ,4500.0
 حي الوزارات ,1604.0
 حي الياسمين ,11685.4
 حي اليرموك ,3526.8571428571427
 حي اليمامة ,2350.0
 حي ام سليم ,1800.0
 حي بدر ,2010.7222222222222
 حي بنبان ,2456.0
 حي ثليم ,12090.0
 حي جرير ,3200.0
 حي حطين ,7090.5625
 حي خشم العان ,2361.1666666666665
 حي ديراب ,1200.0
 حي سلطانة ,2525.0
 حي شبرا ,1000.0
 حي ضاحية نمار ,2246.705882352941
 حي طويق ,2454.818181818182
 حي طيبة ,1066.6666666666667
 حي ظهرة لبن ,2711.5
 حي ظهرة نمار ,2507.7
 حي عرقة ,3838.714285714286
 حي عريض ,1832.5454545454545
 حي عقرباء ,3486.6666666666665
 حي عكاظ ,3088.0833333333335
 حي عليشة ,4000.0
 حي غرناطة ,4400.0
 حي قرطبة ,4395.9
 حي لبن ,4750.0
 حي مطار الملك خالد الدولي ,4000.0
 حي منفوحة ,1400.0
 حي منفوحة الجديدة ,1400.0
 حي نمار,3200.0
 حي نمار ,3083.0
 سدوس ,2889.0
 شارع ابن ماجه ,2700.0
 شارع السلطان محمد الفاتح ,6400.0
 شارع العين ,3333.0
 شارع سعيد بن عبدالله باقشير ,2613.0
 شارع عبدالله بن العاص ,4600.0
 ضاحية نمار ,5809.964285714285
 ضرما ,463.0
 طريق النفود ,2299.375
 طريق سعيد ابن زيد ,4450.0
 ملهم ,2988.3333333333335
