الحي,عدد الأراضي
 حي النرجس ,116
 حي المهدية ,112
 حي ظهرة لبن ,86
 حي الرمال ,64
 حي عريض ,44
 حي العارض ,38
 حي الخير ,38
 حي اليرموك ,35
 حي القادسية ,33
 ضاحية نمار ,28
 حي الروضة ,26
 العيينة ,25
 حي طويق ,22
 حي النسيم الغربي ,19
 حي بدر ,18
 حي ضاحية نمار ,17
 حي البيان ,17
 حي المشرق ,17
 حي العوالي ,17
 حي المونسية ,17
 حي حطين ,16
 حي النهضة ,16
 حي القيروان ,16
 حي عرقة ,14
 حي النظيم ,14
 حي الشرق ,14
 حي الخليج ,14
 حي الملقا ,13
 ,12
 حي السعادة ,12
 حي الملك فيصل ,12
 حي عكاظ ,12
 حي الجنادرية ,11
 حي العلا ,11
 حي اشبيلية ,11
 حي ظهرة نمار ,10
 حي قرطبة ,10
 امارة منطقة الرياض ,9
 حي البرية ,9
 حي الزاهر ,9
 حي الدار البيضاء ,9
 حي الحزم ,9
 طريق النفود ,8
 حي الغنامية ,8
 حي غرناطة ,8
 حي بنبان ,7
 حي الحمراء ,7
 حي العليا ,7
 حي المعيزلة ,7
 حي الندوة ,6
 حي خشم العان ,6
 حي المغرزات ,6
 حي القدس ,6
 ملهم ,6
 حي العزيزية ,6
 حي طيبة ,6
 حي المروة ,6
 حي المناخ ,6
 حي العقيق ,5
 حي الهدا ,5
 حي السلام ,5
 حي الشعلة ,5
 حي نمار ,5
 حي الصحافة ,5
 حي الياسمين ,5
 حي الجزيرة ,5
 حي الشهداء ,5
 حي المصفاة ,4
 حي السلي ,4
 حي المحمدية ,4
 حي المروج ,4
 حي الشفا ,4
 حي المعيزيلة ,4
 حي النسيم الشرقي ,4
 حي الصفا ,4
 حي الربوة ,4
 حي الضباط ,4
 حي الفيحاء ,4
 حي ثليم ,4
 حي الازدهار ,4
 حي المصيف ,4
 حي عقرباء ,3
 حي الندى ,3
 حي الربيع ,3
 حي نمار,3
 حي البديعة ,3
 حي النخيل ,3
 حي الدفاع ,3
 حي الملز ,3
 حي الحائر ,2
 ضرما ,2
 حي أم الحمام الغربي ,2
 حي جرير ,2
 حي لبن ,2
 حي الرحمانية ,2
 شارع سعيد بن عبدالله باقشير ,2
 القرينه ,2
 حي منفوحة ,2
 حي المرسلات ,2
 حي الناصرية ,2
 حي العريجاء الغربي ,2
 حي الاندلس ,2
 طريق سعيد ابن زيد ,2
 حي سلطانة ,2
 حي النفل ,2
 حي المنار ,2
 حي المربع ,2
 حي المنصورة ,2
 حي الملك فهد ,2
 حي الصناعية القديمة ,2
 حي الوادي ,2
 حي مطار الملك خالد الدولي ,1
 شارع العين ,1
 حي الفاروق ,1
 حي ام سليم ,1
 حي السليمانية ,1
 حي الغدير ,1
 حي ديراب ,1
 شارع عبدالله بن العاص ,1
 حي العريجاء الغربية ,1
 حي العين ,1
 حي المنصورية ,1
 حي الملك عبدالله ,1
 حي عليشة ,1
 حي الريان ,1
 حي الرفيعة ,1
 شارع السلطان محمد الفاتح ,1
 حي اليمامة ,1
 سدوس ,1
 حي العريجاء الوسطى ,1
 القرينة ,1
 حي المصانع ,1
 حي الزهرة ,1
 شارع ابن ماجه ,1
 حي الوزارات ,1
 حي المشاعل ,1
 حي الفلاح ,1
 حي شبرا ,1
 حي الزهراء ,1
 حي منفوحة الجديدة ,1
 المغرفية ,1
 حي السويدي ,1
