نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,بدون غرض,الرياض, حي غرناطة ,شمالية,800.0,4800.0,3840000.0
أرض,سكني,الرياض, حي غرناطة ,ثلاث شوارع,1650.0,4800.0,7920000.0
أرض,سكني,الرياض, حي اليرموك ,ثلاث شوارع,1650.0,4800.0,7920000.0
أرض,سكني,الرياض, حي النسيم الغربي ,غربية,750.0,3200.0,2400000.0
أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية,2400.0,3300.0,7920000.0
أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية,900.0,3300.0,2970000.0
أرض,تجاري وسكني,الرياض, حي الملك فيصل ,شرقية,750.0,3350.0,2512500.0
أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089.0,3300.0,3593700.0
أرض,تجاري وسكني,الرياض, حي اليرموك ,شرقية,450.0,3500.0,1575000.0
أرض,تجاري وسكني,الرياض, حي الرمال ,شرقية,450.0,3500.0,1575000.0
أرض,تجاري وسكني,الرياض, حي المعيزلة ,جنوبية,550.0,2500.0,1375000.0
أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089.0,3200.0,3484800.0
أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089.0,3250.0,3539250.0
أرض,تجاري وسكني,الرياض, حي المعيزلة ,جنوبية,550.0,3000.0,1650000.0
أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية شرقية,3092.0,3200.0,9894400.0
أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية,381.0,2500.0,952500.0
أرض,تجاري وسكني,الرياض, حي الشرق ,شمالية,361.0,2500.0,902500.0
أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية,412.0,3100.0,1277200.0
أرض,تجاري,الرياض, حي المونسية ,شرقية,750.0,4200.0,3150000.0
أرض,تجاري,الرياض, حي المونسية ,شرقية,2115.0,4200.0,8883000.0
أرض,تجاري,الرياض, حي الرمال ,شرقية,1560.0,6410.0,9999600.0
